Price,Close,High,Low,Open,Volume,MA_10,MA_20
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,
Date,,,,,,,
12/15/2025,475.3099976,481.769989,467.6600037,469.4400024,114542200,450.2869995,431.3710007
12/16/2025,489.8800049,491.5,465.8299866,472.2099915,107608100,456.351001,435.4190002
12/17/2025,467.2600098,495.2799988,466.2000122,488.2200012,106490400,458.4030029,438.7195007
12/18/2025,483.3699951,490.8599854,473.1199951,478.1600037,95168400,461.2870026,442.688501
12/19/2025,481.2000122,490.4899902,474.7200012,488.1199951,103305400,463.9070038,446.987001
12/22/2025,488.730011,498.8299866,485.3299866,489.8800049,86916100,468.8220062,451.8690018
12/23/2025,485.5599976,491.9700012,482.8399963,489.3999939,58223600,472.8610046,455.2580017
12/24/2025,485.3999939,490.8999939,476.7999878,488.480011,41285400,476.2560028,458.5580017
12/26/2025,475.1900024,489.0899963,473.8200073,485.230011,58780700,479.0860016,460.9885025
12/29/2025,459.6400146,469.3999939,459,469,66263000,479.1540039,462.4620026
12/30/2025,454.4299927,463.1199951,453.8299866,461.0899963,58902200,477.0660034,463.6765015
